;;;Local availability;Exterior availability;Direct and indirect emissions for local resource;Price for local resource;
;;units;[GWh/y];[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];
Category;Subcategory;parameter name;avail_local;avail_exterior;gwp_op_local;c_op_local;Comment
Renewable;Biomass;WOOD;1605;10000;0.0118;0.016980597;
Renewable;Biomass;WET_BIOMASS;313.5002138;0;0.0118;0.010318121;
Non-renewable;Other non-renewable;WASTE;0;0;0.1501;0.021187834;
Non-renewable;Fossil fuel;GAS;16276.11627;10000;0.2666;0.010662519;
Non-renewable;Fossil fuel;GASOLINE;0;10000;0.3448;0.124118331;
Non-renewable;Fossil fuel;DIESEL;0;10000;0.3148;0.111311495;
Non-renewable;Fossil fuel;LFO;10000;0.7307463;0.3115;0.085115655;
Non-renewable;Fossil fuel;LPG;102.6783522;10000;0.28360908;0.021578745;
